checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
... >= 200 DM / salary assignments for at least 1 year,23,delay in paying off in the past,others,7509,... >= 1000 DM,unemployed,4,female,guarantor,2,real estate,30,none,own,1,unskilled - resident,1,none,yes,1,single
... < 0 DM,23,no credits taken / all credits paid back duly,radio/television,1939,unknown / no savings account,4 <= ... < 7 years,1,male,guarantor,3,"car or other, not in savings account",32,bank,rent,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,13,critical account / other credits existing (not at this bank),car (used),2343,... >= 1000 DM,4 <= ... < 7 years,2,female,guarantor,4,unknown / no property,29,none,own,1,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",no,1,married/widowed
... >= 200 DM / salary assignments for at least 1 year,27,all credits at this bank paid back duly,repairs,591,unknown / no savings account,... < 1 year,3,male,co-applicant,2,unknown / no property,23,stores,rent,2,unskilled - resident,1,none,no,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,32,critical account / other credits existing (not at this bank),car (used),3913,100 <= ... < 500 DM,... < 1 year,1,male,co-applicant,3,unknown / no property,43,bank,own,1,skilled employee / official,2,none,no,1,married/widowed
... < 0 DM,22,all credits at this bank paid back duly,furniture/equipment,9147,... >= 1000 DM,unemployed,2,male,none,1,building society savings agreement / life insurance,36,none,own,2,unskilled - resident,1,"yes, registered under customer's name",no,1,divorced/separated
no checking account,38,delay in paying off in the past,radio/television,5901,unknown / no savings account,... < 1 year,4,male,co-applicant,3,real estate,32,none,for free,3,skilled employee / official,2,none,no,1,single
... >= 200 DM / salary assignments for at least 1 year,25,all credits at this bank paid back duly,car (new),1912,unknown / no savings account,... >= 7 years,2,male,guarantor,2,unknown / no property,30,bank,rent,4,unemployed / unskilled - non-resident,2,none,no,1,divorced/separated
... < 0 DM,4,existing credits paid back duly till now,furniture/equipment,7665,100 <= ... < 500 DM,1 <= ... < 4 years,4,female,none,2,unknown / no property,33,stores,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,2,divorced/separated
... < 0 DM,22,no credits taken / all credits paid back duly,furniture/equipment,3235,100 <= ... < 500 DM,... < 1 year,3,female,co-applicant,3,"car or other, not in savings account",43,none,rent,2,skilled employee / official,2,none,yes,2,single
0 <= ... < 200 DM,26,no credits taken / all credits paid back duly,furniture/equipment,1157,... >= 1000 DM,... < 1 year,4,female,guarantor,2,building society savings agreement / life insurance,19,bank,own,1,unskilled - resident,1,none,yes,1,divorced/separated
no checking account,4,delay in paying off in the past,others,5463,unknown / no savings account,... >= 7 years,4,male,guarantor,1,unknown / no property,30,none,own,1,unskilled - resident,2,none,no,1,divorced/separated
no checking account,27,delay in paying off in the past,furniture/equipment,2479,unknown / no savings account,unemployed,2,male,none,1,real estate,55,none,own,1,unskilled - resident,1,"yes, registered under customer's name",yes,2,divorced/separated
... < 0 DM,7,existing credits paid back duly till now,domestic appliances,15945,... < 100 DM,... >= 7 years,2,male,none,2,unknown / no property,19,bank,own,2,skilled employee / official,2,none,yes,1,married/widowed
0 <= ... < 200 DM,26,existing credits paid back duly till now,radio/television,11458,unknown / no savings account,1 <= ... < 4 years,1,male,none,2,real estate,31,none,own,1,skilled employee / official,1,"yes, registered under customer's name",no,1,divorced/separated
no checking account,27,existing credits paid back duly till now,car (new),7083,100 <= ... < 500 DM,4 <= ... < 7 years,1,female,co-applicant,2,unknown / no property,26,bank,rent,4,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,14,all credits at this bank paid back duly,car (new),12055,... >= 1000 DM,4 <= ... < 7 years,4,male,co-applicant,2,"car or other, not in savings account",40,stores,for free,2,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",no,1,divorced/separated
no checking account,59,no credits taken / all credits paid back duly,car (new),2327,500 <= ... < 1000 DM,unemployed,4,male,none,2,building society savings agreement / life insurance,33,none,own,2,unskilled - resident,2,"yes, registered under customer's name",no,1,divorced/separated
no checking account,21,delay in paying off in the past,radio/television,871,... < 100 DM,4 <= ... < 7 years,4,male,none,4,building society savings agreement / life insurance,26,stores,own,1,unskilled - resident,2,none,yes,2,divorced/separated
no checking account,36,delay in paying off in the past,business,1668,unknown / no savings account,1 <= ... < 4 years,1,male,guarantor,3,"car or other, not in savings account",30,none,for free,1,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,2,divorced/separated
0 <= ... < 200 DM,54,delay in paying off in the past,car (new),2719,100 <= ... < 500 DM,4 <= ... < 7 years,4,male,co-applicant,3,"car or other, not in savings account",42,none,for free,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,23,no credits taken / all credits paid back duly,business,2237,... < 100 DM,... < 1 year,2,male,none,3,unknown / no property,51,none,own,1,unskilled - resident,1,"yes, registered under customer's name",yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,22,delay in paying off in the past,repairs,9073,... >= 1000 DM,... >= 7 years,4,male,none,2,building society savings agreement / life insurance,37,stores,rent,2,unskilled - resident,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,8,existing credits paid back duly till now,furniture/equipment,2856,... < 100 DM,... >= 7 years,3,male,guarantor,3,"car or other, not in savings account",30,none,own,3,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",yes,2,single
... >= 200 DM / salary assignments for at least 1 year,26,no credits taken / all credits paid back duly,others,1309,100 <= ... < 500 DM,1 <= ... < 4 years,2,male,guarantor,1,"car or other, not in savings account",28,bank,own,2,skilled employee / official,1,none,no,1,married/widowed
... < 0 DM,6,no credits taken / all credits paid back duly,business,2893,unknown / no savings account,... >= 7 years,2,female,none,3,unknown / no property,41,none,own,4,skilled employee / official,2,none,yes,1,divorced/separated
0 <= ... < 200 DM,22,delay in paying off in the past,business,941,... < 100 DM,... >= 7 years,2,female,none,4,real estate,38,stores,rent,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
no checking account,25,existing credits paid back duly till now,repairs,250,100 <= ... < 500 DM,... >= 7 years,2,male,co-applicant,1,unknown / no property,44,bank,own,2,unskilled - resident,2,none,yes,2,divorced/separated
0 <= ... < 200 DM,4,no credits taken / all credits paid back duly,furniture/equipment,2052,100 <= ... < 500 DM,... >= 7 years,1,female,co-applicant,3,unknown / no property,40,none,rent,4,unskilled - resident,1,none,no,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,business,8435,... < 100 DM,... < 1 year,4,female,none,3,real estate,37,bank,for free,1,skilled employee / official,1,none,no,1,single
0 <= ... < 200 DM,24,delay in paying off in the past,car (new),470,100 <= ... < 500 DM,... < 1 year,3,female,guarantor,2,unknown / no property,46,bank,for free,1,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,20,critical account / other credits existing (not at this bank),car (new),568,100 <= ... < 500 DM,... >= 7 years,4,female,guarantor,4,building society savings agreement / life insurance,28,bank,for free,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,16,critical account / other credits existing (not at this bank),repairs,12477,100 <= ... < 500 DM,1 <= ... < 4 years,1,male,none,2,building society savings agreement / life insurance,55,stores,own,2,management / self-employed / highly qualified employee / officer,2,none,no,1,single
... < 0 DM,38,delay in paying off in the past,car (new),3573,100 <= ... < 500 DM,4 <= ... < 7 years,2,male,none,2,real estate,27,none,own,1,unskilled - resident,1,none,yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,22,all credits at this bank paid back duly,business,1331,500 <= ... < 1000 DM,4 <= ... < 7 years,1,female,guarantor,3,real estate,19,none,rent,3,skilled employee / official,1,none,yes,1,single
... < 0 DM,23,all credits at this bank paid back duly,repairs,2302,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,none,3,unknown / no property,36,none,own,2,unskilled - resident,2,none,yes,1,single
0 <= ... < 200 DM,30,critical account / other credits existing (not at this bank),education,3045,100 <= ... < 500 DM,... >= 7 years,1,male,none,4,unknown / no property,19,none,own,1,unemployed / unskilled - non-resident,1,none,yes,1,single
no checking account,21,existing credits paid back duly till now,domestic appliances,493,unknown / no savings account,4 <= ... < 7 years,4,male,co-applicant,4,real estate,41,none,rent,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,married/widowed
... < 0 DM,47,delay in paying off in the past,others,8068,100 <= ... < 500 DM,4 <= ... < 7 years,3,female,co-applicant,4,unknown / no property,51,none,own,4,skilled employee / official,2,none,yes,2,divorced/separated
... < 0 DM,27,no credits taken / all credits paid back duly,repairs,1471,... >= 1000 DM,... >= 7 years,4,male,none,2,building society savings agreement / life insurance,28,stores,own,2,unemployed / unskilled - non-resident,1,none,no,2,married/widowed
... < 0 DM,56,critical account / other credits existing (not at this bank),repairs,4769,... < 100 DM,4 <= ... < 7 years,2,male,co-applicant,1,unknown / no property,38,stores,own,2,unskilled - resident,1,none,yes,1,single
... >= 200 DM / salary assignments for at least 1 year,60,critical account / other credits existing (not at this bank),repairs,5337,... < 100 DM,... < 1 year,2,male,guarantor,4,"car or other, not in savings account",62,none,rent,4,unemployed / unskilled - non-resident,1,none,yes,1,married/widowed
no checking account,25,delay in paying off in the past,retraining,11100,500 <= ... < 1000 DM,unemployed,4,male,guarantor,4,"car or other, not in savings account",22,bank,for free,2,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,26,all credits at this bank paid back duly,car (used),250,500 <= ... < 1000 DM,unemployed,4,male,none,4,building society savings agreement / life insurance,34,none,for free,1,unskilled - resident,1,"yes, registered under customer's name",no,1,married/widowed
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,5409,... >= 1000 DM,4 <= ... < 7 years,2,male,none,2,unknown / no property,41,bank,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,10,critical account / other credits existing (not at this bank),business,1494,unknown / no savings account,... >= 7 years,4,male,none,3,"car or other, not in savings account",51,none,rent,2,unemployed / unskilled - non-resident,1,none,yes,1,divorced/separated
... < 0 DM,5,existing credits paid back duly till now,furniture/equipment,4893,... < 100 DM,unemployed,4,male,none,4,"car or other, not in savings account",58,none,own,3,skilled employee / official,1,none,yes,1,married/widowed
... < 0 DM,24,all credits at this bank paid back duly,repairs,15551,100 <= ... < 500 DM,1 <= ... < 4 years,2,male,guarantor,1,unknown / no property,26,bank,own,2,skilled employee / official,1,"yes, registered under customer's name",no,1,single
0 <= ... < 200 DM,25,all credits at this bank paid back duly,furniture/equipment,7953,unknown / no savings account,1 <= ... < 4 years,4,female,none,1,unknown / no property,47,bank,for free,4,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,repairs,2542,500 <= ... < 1000 DM,4 <= ... < 7 years,2,male,none,2,"car or other, not in savings account",47,none,for free,4,skilled employee / official,1,none,yes,2,married/widowed
... < 0 DM,32,delay in paying off in the past,repairs,2860,... < 100 DM,4 <= ... < 7 years,4,female,none,2,unknown / no property,51,none,for free,3,skilled employee / official,1,none,yes,1,married/widowed
0 <= ... < 200 DM,23,existing credits paid back duly till now,retraining,1951,unknown / no savings account,unemployed,3,male,co-applicant,2,"car or other, not in savings account",39,bank,own,2,unemployed / unskilled - non-resident,1,none,no,2,divorced/separated
no checking account,7,existing credits paid back duly till now,car (new),3550,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male,co-applicant,3,"car or other, not in savings account",33,stores,for free,1,skilled employee / official,1,none,yes,2,single
no checking account,8,critical account / other credits existing (not at this bank),education,1865,... < 100 DM,unemployed,2,male,guarantor,4,"car or other, not in savings account",42,none,own,1,skilled employee / official,2,none,yes,1,single
no checking account,39,all credits at this bank paid back duly,car (new),6081,500 <= ... < 1000 DM,... < 1 year,4,male,guarantor,2,building society savings agreement / life insurance,28,none,for free,1,skilled employee / official,1,none,yes,2,married/widowed
no checking account,61,existing credits paid back duly till now,car (used),1800,unknown / no savings account,1 <= ... < 4 years,3,male,guarantor,1,"car or other, not in savings account",21,none,for free,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,married/widowed
... >= 200 DM / salary assignments for at least 1 year,23,critical account / other credits existing (not at this bank),furniture/equipment,1418,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male,co-applicant,3,unknown / no property,51,stores,for free,2,skilled employee / official,1,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,39,critical account / other credits existing (not at this bank),car (new),5725,unknown / no savings account,1 <= ... < 4 years,2,female,none,1,building society savings agreement / life insurance,35,bank,for free,2,unskilled - resident,1,"yes, registered under customer's name",no,2,single
0 <= ... < 200 DM,24,no credits taken / all credits paid back duly,car (new),2773,... >= 1000 DM,1 <= ... < 4 years,4,male,co-applicant,4,"car or other, not in savings account",24,none,for free,4,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,repairs,1340,500 <= ... < 1000 DM,... >= 7 years,2,male,co-applicant,2,unknown / no property,26,none,rent,1,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",yes,1,married/widowed
0 <= ... < 200 DM,6,critical account / other credits existing (not at this bank),domestic appliances,250,... >= 1000 DM,... < 1 year,3,male,guarantor,1,unknown / no property,35,bank,own,2,skilled employee / official,2,none,yes,2,single
0 <= ... < 200 DM,5,existing credits paid back duly till now,business,2379,100 <= ... < 500 DM,1 <= ... < 4 years,2,male,guarantor,3,unknown / no property,36,none,for free,4,management / self-employed / highly qualified employee / officer,2,none,yes,1,single
0 <= ... < 200 DM,25,no credits taken / all credits paid back duly,repairs,1697,500 <= ... < 1000 DM,unemployed,4,female,none,4,building society savings agreement / life insurance,35,none,for free,4,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,25,existing credits paid back duly till now,education,1472,... < 100 DM,unemployed,2,male,none,4,"car or other, not in savings account",41,none,for free,2,unemployed / unskilled - non-resident,1,none,yes,2,married/widowed
