checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
no checking account,4,existing credits paid back duly till now,radio/television,5148,... >= 1000 DM,1 <= ... < 4 years,2,male,none,4,building society savings agreement / life insurance,53,bank,own,1,skilled employee / official,2,none,yes,1,single
0 <= ... < 200 DM,20,critical account / other credits existing (not at this bank),education,2656,... < 100 DM,... >= 7 years,4,male,none,4,"car or other, not in savings account",45,none,rent,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,37,existing credits paid back duly till now,furniture/equipment,4810,... < 100 DM,... >= 7 years,2,male,none,2,"car or other, not in savings account",28,none,rent,1,skilled employee / official,1,none,yes,2,single
0 <= ... < 200 DM,21,delay in paying off in the past,car (new),3694,... < 100 DM,... >= 7 years,4,female,none,1,real estate,54,none,own,2,skilled employee / official,1,none,yes,1,single
no checking account,21,critical account / other credits existing (not at this bank),radio/television,4556,500 <= ... < 1000 DM,4 <= ... < 7 years,4,female,none,1,building society savings agreement / life insurance,25,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,6,all credits at this bank paid back duly,radio/television,6318,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,none,3,"car or other, not in savings account",41,none,own,1,unskilled - resident,1,none,yes,2,single
0 <= ... < 200 DM,15,critical account / other credits existing (not at this bank),radio/television,15945,... < 100 DM,1 <= ... < 4 years,4,male,none,3,building society savings agreement / life insurance,44,bank,own,1,skilled employee / official,1,none,yes,2,single
no checking account,21,critical account / other credits existing (not at this bank),radio/television,4696,500 <= ... < 1000 DM,... >= 7 years,4,male,none,2,"car or other, not in savings account",39,bank,for free,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,4,critical account / other credits existing (not at this bank),car (used),3413,... < 100 DM,4 <= ... < 7 years,4,male,none,1,"car or other, not in savings account",32,none,own,2,skilled employee / official,1,none,yes,2,single
... < 0 DM,10,critical account / other credits existing (not at this bank),car (new),9191,100 <= ... < 500 DM,... >= 7 years,4,male,none,2,"car or other, not in savings account",31,bank,for free,2,unskilled - resident,1,none,yes,1,divorced/separated
... < 0 DM,11,critical account / other credits existing (not at this bank),car (new),4857,... < 100 DM,... >= 7 years,4,male,none,3,unknown / no property,19,none,own,1,unskilled - resident,1,none,yes,1,divorced/separated
no checking account,27,critical account / other credits existing (not at this bank),car (new),1361,... < 100 DM,... < 1 year,3,male,none,3,building society savings agreement / life insurance,55,bank,own,1,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,16,existing credits paid back duly till now,radio/television,2768,unknown / no savings account,... >= 7 years,3,female,none,4,building society savings agreement / life insurance,51,none,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
0 <= ... < 200 DM,14,existing credits paid back duly till now,radio/television,3238,... < 100 DM,1 <= ... < 4 years,2,male,none,2,"car or other, not in savings account",50,none,own,2,skilled employee / official,2,none,yes,1,single
no checking account,4,critical account / other credits existing (not at this bank),radio/television,2111,... < 100 DM,... < 1 year,4,male,none,4,real estate,25,none,own,1,skilled employee / official,1,none,yes,2,single
... < 0 DM,15,existing credits paid back duly till now,others,2417,unknown / no savings account,... >= 7 years,4,male,guarantor,4,building society savings agreement / life insurance,57,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,29,existing credits paid back duly till now,radio/television,3510,unknown / no savings account,... < 1 year,4,female,guarantor,4,real estate,21,none,rent,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
0 <= ... < 200 DM,7,critical account / other credits existing (not at this bank),business,6990,100 <= ... < 500 DM,... < 1 year,2,female,none,4,real estate,75,none,for free,1,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,25,critical account / other credits existing (not at this bank),car (new),5123,... < 100 DM,1 <= ... < 4 years,4,male,none,2,real estate,40,none,own,2,unskilled - resident,1,none,yes,1,single
0 <= ... < 200 DM,21,delay in paying off in the past,car (used),1301,... < 100 DM,4 <= ... < 7 years,4,male,none,4,real estate,20,none,for free,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,19,existing credits paid back duly till now,furniture/equipment,3241,... < 100 DM,unemployed,3,male,none,2,unknown / no property,23,none,own,2,skilled employee / official,1,none,yes,1,single
no checking account,14,existing credits paid back duly till now,radio/television,10798,... < 100 DM,... >= 7 years,3,male,none,2,real estate,69,none,own,2,skilled employee / official,2,none,yes,1,married/widowed
0 <= ... < 200 DM,16,delay in paying off in the past,radio/television,2009,... < 100 DM,1 <= ... < 4 years,4,male,none,4,unknown / no property,53,none,own,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
no checking account,11,existing credits paid back duly till now,repairs,1819,... < 100 DM,... >= 7 years,4,female,none,4,"car or other, not in savings account",32,none,rent,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,250,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male,none,2,real estate,24,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
... >= 200 DM / salary assignments for at least 1 year,46,existing credits paid back duly till now,furniture/equipment,1633,... < 100 DM,1 <= ... < 4 years,4,male,none,3,"car or other, not in savings account",27,none,own,1,skilled employee / official,1,none,no,2,single
... < 0 DM,4,existing credits paid back duly till now,furniture/equipment,5132,100 <= ... < 500 DM,4 <= ... < 7 years,4,male,none,4,building society savings agreement / life insurance,62,none,for free,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,18,critical account / other credits existing (not at this bank),repairs,1813,... < 100 DM,1 <= ... < 4 years,4,male,none,4,real estate,52,none,for free,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
no checking account,22,existing credits paid back duly till now,domestic appliances,3247,unknown / no savings account,... >= 7 years,4,female,none,2,building society savings agreement / life insurance,35,none,rent,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,4,critical account / other credits existing (not at this bank),radio/television,1606,100 <= ... < 500 DM,unemployed,4,male,none,2,unknown / no property,31,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,4,existing credits paid back duly till now,furniture/equipment,1527,... < 100 DM,... >= 7 years,4,female,none,4,"car or other, not in savings account",40,none,own,1,unskilled - resident,2,none,yes,1,single
0 <= ... < 200 DM,6,critical account / other credits existing (not at this bank),car (new),2741,... < 100 DM,4 <= ... < 7 years,4,male,none,2,real estate,64,none,own,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
no checking account,22,existing credits paid back duly till now,car (used),1734,... < 100 DM,... >= 7 years,2,male,none,2,unknown / no property,35,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
no checking account,4,critical account / other credits existing (not at this bank),car (used),250,500 <= ... < 1000 DM,... >= 7 years,4,male,none,4,building society savings agreement / life insurance,22,none,rent,1,skilled employee / official,1,none,yes,2,divorced/separated
... < 0 DM,4,critical account / other credits existing (not at this bank),radio/television,1404,... < 100 DM,... >= 7 years,4,female,none,4,unknown / no property,29,none,own,2,skilled employee / official,1,none,yes,2,single
... < 0 DM,17,existing credits paid back duly till now,car (new),2667,... < 100 DM,unemployed,3,male,co-applicant,4,unknown / no property,33,none,own,2,unskilled - resident,2,none,yes,1,single
0 <= ... < 200 DM,5,existing credits paid back duly till now,business,2565,100 <= ... < 500 DM,... < 1 year,3,male,none,1,building society savings agreement / life insurance,29,bank,own,2,unskilled - resident,2,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,13,existing credits paid back duly till now,radio/television,9277,100 <= ... < 500 DM,4 <= ... < 7 years,4,male,none,3,"car or other, not in savings account",44,none,own,2,management / self-employed / highly qualified employee / officer,2,none,yes,1,divorced/separated
0 <= ... < 200 DM,4,delay in paying off in the past,repairs,2642,... >= 1000 DM,... >= 7 years,4,male,none,4,building society savings agreement / life insurance,41,none,own,2,unskilled - resident,2,"yes, registered under customer's name",yes,2,married/widowed
no checking account,13,existing credits paid back duly till now,radio/television,9222,100 <= ... < 500 DM,... >= 7 years,4,male,none,2,real estate,49,bank,rent,2,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,4,critical account / other credits existing (not at this bank),domestic appliances,3368,... < 100 DM,... >= 7 years,4,male,none,3,real estate,29,none,own,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
no checking account,4,existing credits paid back duly till now,radio/television,752,... < 100 DM,4 <= ... < 7 years,4,female,none,3,building society savings agreement / life insurance,23,none,for free,2,skilled employee / official,1,none,no,1,single
no checking account,26,all credits at this bank paid back duly,car (new),2815,500 <= ... < 1000 DM,... >= 7 years,4,male,none,4,unknown / no property,24,none,own,1,skilled employee / official,1,none,yes,1,single
no checking account,4,all credits at this bank paid back duly,radio/television,10592,unknown / no savings account,... >= 7 years,4,male,none,4,real estate,19,none,rent,4,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,4005,... < 100 DM,... >= 7 years,4,male,none,4,unknown / no property,35,none,rent,1,management / self-employed / highly qualified employee / officer,1,none,yes,2,single
no checking account,8,existing credits paid back duly till now,radio/television,6257,... < 100 DM,1 <= ... < 4 years,3,male,none,1,building society savings agreement / life insurance,59,none,rent,2,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,7,delay in paying off in the past,radio/television,3428,... < 100 DM,... >= 7 years,4,male,none,3,unknown / no property,36,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
no checking account,20,existing credits paid back duly till now,furniture/equipment,3070,... < 100 DM,... >= 7 years,4,male,none,2,unknown / no property,24,none,for free,2,skilled employee / official,1,none,yes,1,single
no checking account,19,existing credits paid back duly till now,furniture/equipment,3277,... < 100 DM,unemployed,3,male,none,4,building society savings agreement / life insurance,29,none,own,2,skilled employee / official,1,none,yes,1,married/widowed
no checking account,17,critical account / other credits existing (not at this bank),business,9745,... < 100 DM,4 <= ... < 7 years,4,male,none,4,building society savings agreement / life insurance,27,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
... < 0 DM,4,existing credits paid back duly till now,education,1900,unknown / no savings account,4 <= ... < 7 years,3,male,none,1,"car or other, not in savings account",43,none,for free,1,skilled employee / official,2,none,yes,2,single
... >= 200 DM / salary assignments for at least 1 year,18,critical account / other credits existing (not at this bank),business,3299,500 <= ... < 1000 DM,... >= 7 years,4,male,none,4,unknown / no property,46,none,for free,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
... < 0 DM,31,existing credits paid back duly till now,car (new),9636,... < 100 DM,... < 1 year,1,male,none,3,building society savings agreement / life insurance,75,none,own,1,unskilled - resident,1,none,yes,1,married/widowed
no checking account,4,critical account / other credits existing (not at this bank),radio/television,8614,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male,none,4,unknown / no property,50,none,for free,4,unskilled - resident,1,none,yes,1,single
no checking account,7,critical account / other credits existing (not at this bank),car (new),6433,unknown / no savings account,1 <= ... < 4 years,4,male,none,4,unknown / no property,23,bank,own,2,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,2,single
no checking account,4,existing credits paid back duly till now,car (new),12795,... < 100 DM,... >= 7 years,4,male,none,4,unknown / no property,30,none,rent,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
... < 0 DM,21,critical account / other credits existing (not at this bank),radio/television,738,unknown / no savings account,1 <= ... < 4 years,4,female,none,4,real estate,23,none,rent,1,management / self-employed / highly qualified employee / officer,2,none,yes,1,single
... >= 200 DM / salary assignments for at least 1 year,4,critical account / other credits existing (not at this bank),radio/television,1648,unknown / no savings account,4 <= ... < 7 years,4,male,none,3,unknown / no property,24,none,own,2,skilled employee / official,2,none,yes,2,divorced/separated
no checking account,9,no credits taken / all credits paid back duly,business,281,... < 100 DM,... >= 7 years,4,male,none,3,"car or other, not in savings account",21,none,own,1,skilled employee / official,1,none,yes,1,single
no checking account,4,existing credits paid back duly till now,radio/television,1771,100 <= ... < 500 DM,... >= 7 years,2,female,none,4,real estate,28,none,rent,2,skilled employee / official,1,none,yes,1,single
no checking account,13,no credits taken / all credits paid back duly,car (new),3681,... < 100 DM,... < 1 year,4,male,none,2,building society savings agreement / life insurance,20,none,own,1,skilled employee / official,1,"yes, registered under customer's name",no,1,single
... < 0 DM,23,critical account / other credits existing (not at this bank),education,5700,100 <= ... < 500 DM,... >= 7 years,4,male,guarantor,2,"car or other, not in savings account",23,stores,for free,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
no checking account,6,critical account / other credits existing (not at this bank),car (new),9384,... < 100 DM,1 <= ... < 4 years,4,male,none,3,"car or other, not in savings account",37,none,for free,2,skilled employee / official,1,none,yes,1,single
no checking account,11,existing credits paid back duly till now,furniture/equipment,2423,unknown / no savings account,... >= 7 years,4,male,none,2,"car or other, not in savings account",28,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,13,existing credits paid back duly till now,car (used),3453,... < 100 DM,1 <= ... < 4 years,3,male,co-applicant,4,real estate,40,bank,own,2,skilled employee / official,2,"yes, registered under customer's name",yes,1,married/widowed
no checking account,22,critical account / other credits existing (not at this bank),radio/television,2257,... < 100 DM,1 <= ... < 4 years,4,male,none,4,"car or other, not in savings account",75,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,married/widowed
no checking account,21,critical account / other credits existing (not at this bank),furniture/equipment,1805,... < 100 DM,... >= 7 years,4,male,none,4,building society savings agreement / life insurance,19,none,own,2,unemployed / unskilled - non-resident,1,none,yes,1,single
no checking account,8,existing credits paid back duly till now,car (new),12227,... < 100 DM,... >= 7 years,3,male,none,3,unknown / no property,75,none,for free,1,skilled employee / official,2,none,yes,1,single
no checking account,16,all credits at this bank paid back duly,furniture/equipment,3530,100 <= ... < 500 DM,... < 1 year,4,male,none,2,building society savings agreement / life insurance,26,none,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
0 <= ... < 200 DM,17,existing credits paid back duly till now,radio/television,5673,100 <= ... < 500 DM,... >= 7 years,4,female,none,2,unknown / no property,41,none,own,1,skilled employee / official,1,none,yes,2,divorced/separated
0 <= ... < 200 DM,25,no credits taken / all credits paid back duly,education,2759,... < 100 DM,... < 1 year,4,male,none,1,unknown / no property,54,bank,for free,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,4,critical account / other credits existing (not at this bank),others,15714,100 <= ... < 500 DM,... >= 7 years,4,female,none,4,unknown / no property,54,bank,rent,2,skilled employee / official,1,none,yes,2,single
0 <= ... < 200 DM,20,critical account / other credits existing (not at this bank),business,10653,100 <= ... < 500 DM,... < 1 year,2,male,none,2,"car or other, not in savings account",26,none,for free,2,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,6,existing credits paid back duly till now,radio/television,1811,unknown / no savings account,... < 1 year,4,female,co-applicant,1,"car or other, not in savings account",26,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,19,critical account / other credits existing (not at this bank),car (new),2153,... < 100 DM,1 <= ... < 4 years,4,male,none,4,building society savings agreement / life insurance,34,none,own,1,skilled employee / official,1,none,yes,2,single
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,3355,... < 100 DM,... >= 7 years,3,male,none,4,building society savings agreement / life insurance,35,none,for free,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,6,critical account / other credits existing (not at this bank),radio/television,10929,... < 100 DM,unemployed,4,female,guarantor,4,unknown / no property,48,none,own,1,skilled employee / official,1,none,yes,1,single
no checking account,11,existing credits paid back duly till now,car (used),1216,... < 100 DM,1 <= ... < 4 years,4,male,none,2,building society savings agreement / life insurance,42,bank,own,2,unskilled - resident,1,none,yes,1,single
no checking account,25,all credits at this bank paid back duly,radio/television,2404,... < 100 DM,4 <= ... < 7 years,4,female,none,4,real estate,31,bank,own,1,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,4,no credits taken / all credits paid back duly,car (new),3133,... < 100 DM,... < 1 year,4,male,none,2,unknown / no property,24,none,rent,2,unskilled - resident,1,none,yes,1,single
no checking account,12,all credits at this bank paid back duly,car (new),8797,... < 100 DM,... >= 7 years,4,male,none,2,"car or other, not in savings account",38,stores,own,2,unskilled - resident,1,none,yes,1,single
no checking account,4,critical account / other credits existing (not at this bank),radio/television,2213,... < 100 DM,... >= 7 years,4,male,none,4,"car or other, not in savings account",59,none,for free,2,skilled employee / official,1,none,yes,1,single
no checking account,25,existing credits paid back duly till now,car (new),9152,... < 100 DM,... >= 7 years,4,female,none,2,"car or other, not in savings account",67,none,own,1,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,28,no credits taken / all credits paid back duly,car (used),4772,... < 100 DM,1 <= ... < 4 years,4,female,none,2,unknown / no property,27,bank,own,4,unskilled - resident,1,none,yes,1,single
no checking account,4,critical account / other credits existing (not at this bank),others,11161,... < 100 DM,... < 1 year,4,male,none,4,building society savings agreement / life insurance,48,none,for free,1,skilled employee / official,1,none,yes,1,single
no checking account,21,critical account / other credits existing (not at this bank),repairs,6156,... < 100 DM,1 <= ... < 4 years,4,male,none,2,"car or other, not in savings account",29,none,own,1,skilled employee / official,1,none,yes,2,single
... < 0 DM,23,existing credits paid back duly till now,radio/television,2821,... < 100 DM,4 <= ... < 7 years,4,male,none,4,real estate,33,stores,own,1,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
no checking account,8,critical account / other credits existing (not at this bank),radio/television,4555,... < 100 DM,4 <= ... < 7 years,4,male,none,1,real estate,59,none,own,2,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
no checking account,13,critical account / other credits existing (not at this bank),car (used),11989,... < 100 DM,4 <= ... < 7 years,4,male,none,3,"car or other, not in savings account",27,none,own,2,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,4,existing credits paid back duly till now,radio/television,15945,... < 100 DM,... >= 7 years,1,male,none,4,"car or other, not in savings account",32,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
no checking account,11,delay in paying off in the past,business,2551,unknown / no savings account,... >= 7 years,4,male,none,1,real estate,75,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,4,delay in paying off in the past,radio/television,10488,... < 100 DM,unemployed,4,male,none,3,real estate,31,none,own,2,unskilled - resident,2,none,yes,1,single
no checking account,33,existing credits paid back duly till now,car (new),12780,500 <= ... < 1000 DM,4 <= ... < 7 years,4,female,guarantor,3,building society savings agreement / life insurance,28,none,for free,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
... >= 200 DM / salary assignments for at least 1 year,29,critical account / other credits existing (not at this bank),radio/television,4704,... < 100 DM,... >= 7 years,4,male,none,2,real estate,32,none,rent,3,skilled employee / official,2,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,48,critical account / other credits existing (not at this bank),radio/television,5158,100 <= ... < 500 DM,4 <= ... < 7 years,4,male,none,2,real estate,28,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
no checking account,4,critical account / other credits existing (not at this bank),car (new),11671,... < 100 DM,... < 1 year,4,male,none,4,real estate,45,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
... < 0 DM,7,delay in paying off in the past,radio/television,4969,100 <= ... < 500 DM,1 <= ... < 4 years,1,male,none,4,unknown / no property,44,bank,for free,1,unskilled - resident,1,none,yes,1,single
0 <= ... < 200 DM,23,existing credits paid back duly till now,business,12570,... < 100 DM,4 <= ... < 7 years,4,male,none,4,real estate,54,none,own,2,skilled employee / official,1,none,yes,1,single
... < 0 DM,43,critical account / other credits existing (not at this bank),business,1502,... >= 1000 DM,... >= 7 years,2,male,none,2,unknown / no property,57,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,2,single
0 <= ... < 200 DM,23,no credits taken / all credits paid back duly,radio/television,2722,unknown / no savings account,1 <= ... < 4 years,4,male,none,4,unknown / no property,73,none,rent,1,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,4,critical account / other credits existing (not at this bank),furniture/equipment,1211,unknown / no savings account,... < 1 year,4,female,none,4,"car or other, not in savings account",38,none,own,1,skilled employee / official,1,none,no,1,married/widowed
0 <= ... < 200 DM,23,critical account / other credits existing (not at this bank),radio/television,3124,unknown / no savings account,... < 1 year,4,male,none,4,"car or other, not in savings account",54,none,own,1,skilled employee / official,1,none,yes,1,single
no checking account,33,existing credits paid back duly till now,others,3080,... < 100 DM,4 <= ... < 7 years,2,male,none,4,real estate,33,none,for free,2,skilled employee / official,2,none,yes,1,single
no checking account,22,critical account / other credits existing (not at this bank),radio/television,8936,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,none,4,unknown / no property,53,none,rent,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
... >= 200 DM / salary assignments for at least 1 year,20,delay in paying off in the past,car (used),3552,unknown / no savings account,4 <= ... < 7 years,3,male,none,2,building society savings agreement / life insurance,62,none,own,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,4,existing credits paid back duly till now,radio/television,15945,100 <= ... < 500 DM,4 <= ... < 7 years,4,female,none,1,building society savings agreement / life insurance,25,none,rent,1,skilled employee / official,1,none,yes,2,married/widowed
... < 0 DM,24,existing credits paid back duly till now,radio/television,2857,unknown / no savings account,... >= 7 years,4,female,none,4,building society savings agreement / life insurance,23,bank,rent,1,skilled employee / official,1,none,yes,1,single
... < 0 DM,11,critical account / other credits existing (not at this bank),furniture/equipment,2743,... < 100 DM,1 <= ... < 4 years,4,male,none,2,building society savings agreement / life insurance,38,none,own,1,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,23,existing credits paid back duly till now,radio/television,2376,... < 100 DM,... >= 7 years,4,male,co-applicant,4,building society savings agreement / life insurance,26,none,own,2,unskilled - resident,1,none,yes,1,single
... < 0 DM,4,delay in paying off in the past,car (used),1463,... >= 1000 DM,unemployed,4,male,none,4,building society savings agreement / life insurance,37,none,own,3,skilled employee / official,1,none,yes,1,single
... < 0 DM,24,existing credits paid back duly till now,car (used),2280,... < 100 DM,unemployed,2,male,none,4,"car or other, not in savings account",53,none,rent,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
no checking account,20,existing credits paid back duly till now,education,275,500 <= ... < 1000 DM,1 <= ... < 4 years,4,female,none,3,real estate,60,bank,rent,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,19,existing credits paid back duly till now,radio/television,15504,... < 100 DM,... >= 7 years,2,male,none,2,unknown / no property,27,none,for free,2,skilled employee / official,1,none,yes,1,single
... < 0 DM,16,critical account / other credits existing (not at this bank),car (new),11933,100 <= ... < 500 DM,4 <= ... < 7 years,2,male,none,4,"car or other, not in savings account",75,bank,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,8,existing credits paid back duly till now,furniture/equipment,2619,... < 100 DM,4 <= ... < 7 years,4,female,none,2,unknown / no property,36,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
no checking account,23,no credits taken / all credits paid back duly,radio/television,3106,... < 100 DM,... >= 7 years,4,male,none,2,real estate,30,none,own,1,skilled employee / official,1,none,yes,1,married/widowed
... >= 200 DM / salary assignments for at least 1 year,20,critical account / other credits existing (not at this bank),business,6600,... < 100 DM,1 <= ... < 4 years,4,male,none,4,building society savings agreement / life insurance,19,bank,rent,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
no checking account,4,existing credits paid back duly till now,car (used),9723,... < 100 DM,... >= 7 years,4,male,none,3,"car or other, not in savings account",75,none,own,2,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,1,divorced/separated
